PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
995,Anastasiia Olairi Kosu,MIN,F,21,80,35,15,5,1,4,0,44.8,60.0,7,10,5,2,0.0,13,29,9,15
836,Chloe Bibby,IND,F,9,88,35,11,4,5,1,9,35.7,85.7,7,2,9,23,39.1,10,28,6,7
494,Mercedes Russell,LAS,C,20,163,34,24,12,5,4,0,44.4,71.4,7,10,14,0,0.0,12,27,10,14
836,Chloe Bibby,GSV,F,5,66,32,14,3,3,0,8,40.7,100.0,0,3,11,19,42.1,11,27,2,2
583,Brianna Turner,IND,F,27,233,30,50,17,2,8,0,40.6,50.0,9,18,32,1,0.0,13,32,4,8
632,Shey Peddy,LAS,G,6,138,30,18,16,2,0,5,41.7,83.3,4,6,12,13,38.5,10,24,5,6
923,Alissa Pili,MIN,F,14,82,27,17,3,2,0,4,45.5,75.0,7,4,13,11,36.4,10,22,3,4
975,Kariata Diaby,CON,C,13,103,25,13,5,6,1,0,50.0,78.6,12,3,10,0,0.0,7,14,11,14
996,Rayah Marshall,CON,F,15,90,25,26,4,2,3,0,34.6,58.3,7,7,19,1,0.0,9,26,7,12
610,Li Yueru,SEA,C,9,78,25,14,6,1,0,2,30.0,91.7,7,4,10,4,50.0,6,20,11,12
647,Tyasha Harris,DAL,G,5,82,23,5,13,2,2,5,44.4,100.0,3,1,4,11,45.5,8,18,2,2
788,Sika Kone,WAS,F,11,74,23,18,5,0,0,1,38.9,88.9,6,3,15,3,33.3,7,18,8,9
947,Jaylyn Sherrod,NYL,G,18,104,22,11,10,10,0,3,30.0,77.8,11,2,9,11,27.3,6,20,7,9
989,Sania Feagin,LAS,F,16,77,20,11,4,0,6,0,35.7,0.0,7,3,8,4,0.0,10,28,0,2
795,Christyn Williams,DAL,G,4,45,17,4,3,0,0,1,37.5,66.7,1,2,2,4,25.0,6,16,4,6
923,Alissa Pili,LAS,F,5,17,16,2,0,0,1,0,50.0,90.9,1,0,2,1,0.0,3,6,10,11
252,Cheyenne Parker-Tyus,LVA,F,2,14,16,2,0,0,0,1,62.5,83.3,1,0,2,2,50.0,5,8,5,6
921,Elizabeth Kitley,LVA,C,12,98,15,17,1,4,6,0,30.4,50.0,7,4,13,1,0.0,7,23,1,2
1008,Madison Scott,WAS,F,9,47,14,1,2,2,0,0,45.5,100.0,1,1,0,1,0.0,5,11,4,4
922,Jacy Sheldon,WAS,G,2,32,13,3,1,0,0,1,40.0,80.0,1,1,2,6,16.7,4,10,4,5
910,Sevgi Uzun,PHO,G,7,102,11,6,14,4,3,1,21.4,66.7,10,0,6,8,12.5,3,14,4,6
917,Mackenzie Holmes,SEA,F,10,58,10,9,2,5,1,0,71.4,0.0,0,3,6,0,0.0,5,7,0,0
854,Haley Jones,PHO,G,4,48,9,8,4,1,1,1,33.3,0.0,2,2,6,2,50.0,4,12,0,0
